UserId,Name,Email,Password,Payment Methods,Crypto Wallet Address,Education,Genre,Subgenres,Location,Website,Social Media,Discography (Count),NFTs (Count),Achievements,Collaboration (Y/N),Collaboration Type,Services Provided,Services Sought,Deals Participated,Deals Completed,Post Links,Likes Count,Comments Count,Opportunities Raised,Payment History,Reviews,Rank
ART201,Charles Tate,hannah64@example.org,[Hashed Password],Cash on Delivery,Monero,Self-Taught,Rock,Indie Rock,"Lake Taylor, Syrian Arab Republic",https://kalakrut.com/Charles Tate,SubStack,3,5,Featured in Magazine,No,choreography,Music Production,Feature Verse,4,1,10,5851440,4820500,1,2,3,980
ART7848,Lisa Jones,katherineburgess@example.org,[Hashed Password],Cash on Delivery,NEO,Self-Taught,Classical,Chamber,"Lake Shannon, Belize",https://kalakrut.com/Lisa Jones,YouTube,3,2,Won Award,No,event,Songwriting,Feature Verse,0,0,8,6037000,2837024,0,5,3,739
ART8003,Leonard Walton,michelle80@example.net,[Hashed Password],Debit Card,Waves Platform,Online Course,Rock,Indie Rock,"Knighthaven, Kenya",https://kalakrut.com/Leonard Walton,YouTube,10,2,Featured in Magazine,No,business,Vocals,Mixing & Mastering,9,4,16,6973136,10000192,3,7,9,665
ART9861,Anthony Taylor,bryan51@example.com,[Hashed Password],Stripe,DigitalNote,Online Course,Pop,K-Pop,"Leslieport, Kiribati",https://kalakrut.com/Anthony Taylor,LinkedIn,1,3,Won Award,Yes,concept,Vocals,Mixing & Mastering,1,1,14,10557792,1823766,0,7,2,387
ART3097,Cynthia Lopez,mendozajesse@example.com,[Hashed Password],Debit Card,Bytecoin,Online Course,Jazz,Fusion,"Port Michael, Guernsey",https://kalakrut.com/Cynthia Lopez,LinkedIn,1,5,Featured in Magazine,Yes,choreography,Songwriting,Feature Verse,2,2,1,438639,14591,1,10,7,672
ART3169,Joshua Farrell,millershelley@example.org,[Hashed Password],Debit Card,Gridcoin,Self-Taught,Hip-Hop,Conscious Rap,"Elizabethstad, Anguilla",https://kalakrut.com/Joshua Farrell,YouTube,5,0,Won Award,Yes,PR,Music Production,Session Musician,4,1,6,1882374,464694,5,2,0,226
ART7079,Michael Terry,shawn22@example.org,[Hashed Password],Stripe,NEO,Online Course,Jazz,Bebop,"Port Jennifershire, Nicaragua",https://kalakrut.com/Michael Terry,Insta,8,4,Featured in Magazine,No,lyrics,Songwriting,Session Musician,5,1,5,2205170,791810,2,6,7,887
ART4302,Joshua Larson,moorekatherine@example.com,[Hashed Password],Debit Card,Burstcoin,Music Academy,Hip-Hop,Trap,"Kleinshire, Costa Rica",https://kalakrut.com/Joshua Larson,Insta,5,0,Featured in Magazine,Yes,lyrics,Songwriting,Feature Verse,5,4,5,1378670,442180,5,9,6,871
ART3754,Chad Evans,jessicakane@example.com,[Hashed Password],Credit Card,IOTA,Music Academy,Pop,Pop Rock,"Lake Brian, Guatemala",https://kalakrut.com/Chad Evans,YouTube,4,3,Won Award,Yes,concept,Vocals,Session Musician,5,5,11,1392545,648714,0,2,7,427
ART875,Anthony White,susan45@example.org,[Hashed Password],Debit Card,DigitalNote,Online Course,Indian,Folk,"West Garystad, Thailand",https://kalakrut.com/Anthony White,SubStack,4,3,,Yes,business,Vocals,Mixing & Mastering,6,1,5,4164255,1904795,0,3,7,377
ART9995,Caroline Sanchez,sara22@example.com,[Hashed Password],Debit Card,SwiftCoin,Music Academy,Pop,Dance Pop,"New Cindybury, Japan",https://kalakrut.com/Caroline Sanchez,YouTube,4,5,Won Award,No,script,Music Production,Feature Verse,0,0,11,9829556,8243257,1,6,0,333
ART6279,Michael Hernandez,colerichard@example.net,[Hashed Password],Cash on Delivery,Tether,Self-Taught,Indian,Ghazal,"South Marissa, Luxembourg",https://kalakrut.com/Michael Hernandez,YouTube,8,3,,Yes,event,Music Production,Feature Verse,1,0,12,2029776,1928100,4,6,5,818
ART988,Bob Ruiz,danielanderson@example.com,[Hashed Password],Cash on Delivery,Vertcoin,Self-Taught,Electronic,EDM,"New Kimberlyville, Somalia",https://kalakrut.com/Bob Ruiz,YouTube,9,2,,Yes,lyrics,Songwriting,Feature Verse,9,9,2,635840,54964,5,4,6,450
ART8724,Matthew Young,matthew02@example.com,[Hashed Password],Credit Card,Waves Platform,Music Academy,Hip-Hop,Boom Bap,"New Brianside, Somalia",https://kalakrut.com/Matthew Young,LinkedIn,5,2,Featured in Magazine,No,PR,Music Production,Session Musician,8,6,5,2779555,730840,3,10,1,16
ART4789,Malik Jones,perkinslawrence@example.org,[Hashed Password],Stripe,Gridcoin,Music Academy,Pop,K-Pop,"Anitaburgh, Turkey",https://kalakrut.com/Malik Jones,Twitter,10,3,,Yes,business,Songwriting,Mixing & Mastering,6,2,12,11359656,8327928,1,10,0,249
ART3144,Antonio Anderson,huangzachary@example.com,[Hashed Password],Paypal,Bitcoin,Music Academy,Classical,Orchestra,"Vincenttown, Mongolia",https://kalakrut.com/Antonio Anderson,SubStack,7,1,,No,business,Vocals,Mixing & Mastering,7,7,20,19409280,3518680,1,7,6,295
ART7955,Linda Riley,frederickaaron@example.org,[Hashed Password],Cash on Delivery,Sirin Labs,Online Course,Indian,Folk,"Lisaville, Mexico",https://kalakrut.com/Linda Riley,Twitter,8,4,Featured in Magazine,No,event,Music Production,Feature Verse,6,5,7,3622276,1886339,0,6,0,245
ART9752,Jeanette Cohen,sean97@example.net,[Hashed Password],Credit Card,EOS.IO,Self-Taught,Hip-Hop,Conscious Rap,"West Jillchester, Mauritania",https://kalakrut.com/Jeanette Cohen,SubStack,7,1,,Yes,business,Music Production,Session Musician,6,4,10,9164960,8428770,0,2,3,890
ART6401,Christine Collins,singletonerin@example.net,[Hashed Password],Credit Card,Zcash,Music Academy,Pop,K-Pop,"Devinstad, Faroe Islands",https://kalakrut.com/Christine Collins,LinkedIn,2,0,,Yes,business,Songwriting,Feature Verse,10,5,14,6735652,6669628,4,2,2,19
ART2206,Jennifer Buckley,oconnorerin@example.org,[Hashed Password],Paypal,Ripple,Online Course,Hip-Hop,Trap,"Millerburgh, Bangladesh",https://kalakrut.com/Jennifer Buckley,YouTube,7,5,,No,choreography,Music Production,Session Musician,10,1,1,563770,44355,5,6,9,313
ART8816,Jennifer Castillo,amandaosborne@example.com,[Hashed Password],Cash on Delivery,Tether,Online Course,Classical,Chamber,"Shannonside, Marshall Islands",https://kalakrut.com/Jennifer Castillo,Fb,5,1,Won Award,Yes,production,Songwriting,Mixing & Mastering,1,0,19,8542381,8827381,4,8,5,477
ART4315,Nicole Griffin,curtisrichard@example.net,[Hashed Password],Cash on Delivery,XEM,Online Course,Pop,Dance Pop,"Castillomouth, Nigeria",https://kalakrut.com/Nicole Griffin,Fb,4,3,Won Award,No,business,Songwriting,Session Musician,5,2,8,913768,449240,2,6,1,796
ART7771,Erin Chandler,jillian39@example.net,[Hashed Password],Debit Card,NEO,Self-Taught,Classical,Chamber,"Stevenfort, Bermuda",https://kalakrut.com/Erin Chandler,LinkedIn,7,4,Featured in Magazine,No,PR,Vocals,Session Musician,0,0,5,670855,222300,0,3,1,283
ART4539,Andrew Sanchez,nunezlorraine@example.com,[Hashed Password],Paypal,IOTA,Self-Taught,Classical,Orchestra,"New Tammie, Algeria",https://kalakrut.com/Andrew Sanchez,Insta,10,3,,Yes,logistics,Music Production,Session Musician,9,6,2,1278802,106482,4,4,0,764
ART9415,Angela Butler,blackburndale@example.net,[Hashed Password],Cash on Delivery,Tether,Music Academy,Rock,Indie Rock,"Rodriguezmouth, Peru",https://kalakrut.com/Angela Butler,LinkedIn,2,4,,Yes,production,Vocals,Feature Verse,7,0,1,966600,76745,4,8,2,833
ART1352,James Sanders,mariabarry@example.net,[Hashed Password],Debit Card,Nxt,Online Course,Rock,Indie Rock,"Andrewstad, Congo",https://kalakrut.com/James Sanders,SubStack,5,0,,Yes,choreography,Vocals,Feature Verse,5,5,1,132396,5063,3,4,1,261
ART1968,Timothy Sullivan,sara02@example.com,[Hashed Password],Debit Card,Gridcoin,Self-Taught,Pop,K-Pop,"North Andrea, Wallis and Futuna",https://kalakrut.com/Timothy Sullivan,LinkedIn,4,5,Featured in Magazine,No,lyrics,Songwriting,Feature Verse,10,10,20,9929420,12496400,0,4,4,54
ART5008,Scott Miller,melissahill@example.net,[Hashed Password],Debit Card,Primecoin,Online Course,Hip-Hop,Trap,"South Maryside, Belarus",https://kalakrut.com/Scott Miller,Twitter,2,1,,Yes,logistics,Songwriting,Feature Verse,4,4,20,17893800,29425640,0,4,10,498
ART495,Carolyn Kramer,marycollins@example.net,[Hashed Password],Paypal,BlackCoin,Online Course,Pop,Pop Rock,"North Mark, French Southern Territories",https://kalakrut.com/Carolyn Kramer,Insta,3,4,Featured in Magazine,No,design,Music Production,Mixing & Mastering,5,5,3,2224437,433749,2,1,10,449
ART8377,Christopher Park,melinda76@example.net,[Hashed Password],Debit Card,Namecoin,Online Course,Indian,Bollywood,"East Cameron, Azerbaijan",https://kalakrut.com/Christopher Park,SubStack,10,0,Featured in Magazine,No,choreography,Vocals,Mixing & Mastering,7,0,7,5129271,883484,4,8,2,271
ART9192,Sherry Ramirez,thompsonmarie@example.org,[Hashed Password],Credit Card,Feathercoin,Self-Taught,Hip-Hop,Conscious Rap,"Kimberlyfort, Sweden",https://kalakrut.com/Sherry Ramirez,Insta,3,0,Won Award,Yes,script,Songwriting,Session Musician,5,2,2,1731390,52092,0,5,0,488
ART1984,Patrick Fisher,smithbenjamin@example.org,[Hashed Password],Stripe,AMP,Self-Taught,Hip-Hop,Conscious Rap,"Donnaborough, Nauru",https://kalakrut.com/Patrick Fisher,YouTube,5,4,Won Award,No,script,Music Production,Feature Verse,9,5,18,16357014,12880620,5,7,1,466
ART7681,Bradley Vasquez,laurie66@example.com,[Hashed Password],Credit Card,Bytecoin,Online Course,Hip-Hop,Trap,"Teresaport, French Polynesia",https://kalakrut.com/Bradley Vasquez,LinkedIn,6,1,,Yes,logistics,Vocals,Mixing & Mastering,8,6,19,2962556,3430393,4,7,7,390
ART587,William Green,wchavez@example.org,[Hashed Password],Credit Card,MazaCoin,Online Course,Hip-Hop,Boom Bap,"Thomasstad, Morocco",https://kalakrut.com/William Green,LinkedIn,3,4,Won Award,No,production,Vocals,Feature Verse,8,2,4,2479436,29428,4,8,10,478
ART1091,Jennifer Bowers,kathyhernandez@example.com,[Hashed Password],Cash on Delivery,AMP,Online Course,World,Folk,"Howelltown, Sudan",https://kalakrut.com/Jennifer Bowers,LinkedIn,2,3,Won Award,Yes,business,Music Production,Session Musician,1,1,16,1063984,1023808,2,2,10,36
ART523,Patricia Clark,amy51@example.com,[Hashed Password],Stripe,Vertcoin,Self-Taught,Electronic,Dubstep,"Lake Michaelhaven, Botswana",https://kalakrut.com/Patricia Clark,Fb,10,3,Won Award,Yes,design,Songwriting,Mixing & Mastering,7,6,9,995229,360603,3,4,9,740
ART6169,Monica Clements,michael14@example.com,[Hashed Password],Cash on Delivery,AMP,Music Academy,Hip-Hop,Conscious Rap,"Lopezstad, Norfolk Island",https://kalakrut.com/Monica Clements,Insta,8,4,Won Award,No,lyrics,Songwriting,Session Musician,5,0,13,8427978,3860649,1,5,4,797
ART6865,Lisa Garcia,melissa27@example.com,[Hashed Password],Debit Card,Litecoin,Music Academy,World,Folk,"Port Steven, Iraq",https://kalakrut.com/Lisa Garcia,SubStack,3,4,,Yes,script,Music Production,Mixing & Mastering,1,0,1,844930,70164,5,9,0,364
ART4516,Charles Ramirez MD,anthony92@example.com,[Hashed Password],Credit Card,Omni,Online Course,Rock,Indie Rock,"Jeffreyborough, Haiti",https://kalakrut.com/Charles Ramirez MD,SubStack,8,0,,No,design,Songwriting,Feature Verse,7,4,7,5078948,2031659,1,3,6,374
ART159,Kelsey Ross,cookmelissa@example.org,[Hashed Password],Credit Card,Namecoin,Self-Taught,Hip-Hop,Conscious Rap,"East Jimmy, Taiwan",https://kalakrut.com/Kelsey Ross,YouTube,2,5,,No,choreography,Music Production,Mixing & Mastering,5,4,20,16182520,31371580,2,5,2,497
ART9578,Kevin Baker,christensenandrew@example.net,[Hashed Password],Debit Card,Zcash,Self-Taught,Classical,Orchestra,"Brookeport, Martinique",https://kalakrut.com/Kevin Baker,Insta,1,2,,Yes,choreography,Music Production,Feature Verse,0,0,6,2802954,767424,5,4,8,120
ART8732,Alexis Rivera,cooperlatoya@example.com,[Hashed Password],Paypal,Bytecoin,Self-Taught,Pop,K-Pop,"Wuborough, Australia",https://kalakrut.com/Alexis Rivera,LinkedIn,6,3,,No,PR,Songwriting,Feature Verse,9,0,13,12754833,215995,5,10,5,554
ART1879,Valerie Leblanc,chelsea20@example.net,[Hashed Password],Paypal,Dogecoin,Music Academy,Pop,Dance Pop,"Dianeton, Faroe Islands",https://kalakrut.com/Valerie Leblanc,LinkedIn,1,4,Won Award,No,production,Music Production,Feature Verse,2,1,16,1301392,1735040,4,5,2,192
ART8338,Sandra Christensen,tcabrera@example.net,[Hashed Password],Paypal,Titcoin,Self-Taught,Hip-Hop,Conscious Rap,"Lake Karahaven, United States Virgin Islands",https://kalakrut.com/Sandra Christensen,Insta,5,1,Won Award,No,lyrics,Vocals,Mixing & Mastering,6,5,11,9984689,3316632,2,5,8,759
ART6374,Melissa Bates,cabreravicki@example.net,[Hashed Password],Debit Card,SwiftCoin,Self-Taught,Electronic,Dubstep,"South Christyfurt, Oman",https://kalakrut.com/Melissa Bates,YouTube,6,5,Featured in Magazine,Yes,choreography,Vocals,Mixing & Mastering,7,2,10,1592100,394680,2,3,8,41
ART3695,Nicole Khan,thomasnichols@example.com,[Hashed Password],Cash on Delivery,Ubiq,Online Course,Classical,Chamber,"Lake Elizabethstad, Luxembourg",https://kalakrut.com/Nicole Khan,Fb,4,2,Won Award,Yes,choreography,Vocals,Feature Verse,7,2,7,4909184,2987929,3,6,2,809
ART5775,Joshua Miller,pbentley@example.net,[Hashed Password],Cash on Delivery,MazaCoin,Online Course,Rock,Metal,"West Colleenshire, Malawi",https://kalakrut.com/Joshua Miller,Insta,10,3,,No,lyrics,Songwriting,Session Musician,3,0,2,577918,34106,4,4,8,68
ART9627,Joshua Thomas,summersdebra@example.net,[Hashed Password],Stripe,Sirin Labs,Online Course,Rock,Alternative,"Nguyenton, French Guiana",https://kalakrut.com/Joshua Thomas,Fb,4,1,Won Award,Yes,logistics,Music Production,Session Musician,3,1,19,2626218,1154972,2,2,7,265
ART7544,Amber Spears,santostammy@example.com,[Hashed Password],Debit Card,Tether,Self-Taught,Pop,Pop Rock,"West Heather, Korea",https://kalakrut.com/Amber Spears,YouTube,3,0,Won Award,No,lyrics,Music Production,Feature Verse,8,4,15,2020680,2285355,3,3,2,128
ART7659,Audrey Baker,rileytina@example.com,[Hashed Password],Debit Card,Bitcoin,Self-Taught,Hip-Hop,Trap,"Moorebury, Equatorial Guinea",https://kalakrut.com/Audrey Baker,SubStack,8,0,,Yes,business,Vocals,Session Musician,1,0,5,50615,9540,1,2,8,253
ART1686,Melissa Jones,ychandler@example.net,[Hashed Password],Credit Card,Omni,Online Course,World,Contemporary,"Smithland, Finland",https://kalakrut.com/Melissa Jones,Insta,8,0,Featured in Magazine,Yes,production,Vocals,Session Musician,5,3,11,9990662,3908630,1,7,8,167
ART1838,Elizabeth Johns,catherinecook@example.org,[Hashed Password],Credit Card,MazaCoin,Music Academy,Rock,Alternative,"Nguyenville, Niue",https://kalakrut.com/Elizabeth Johns,Twitter,9,4,,No,script,Songwriting,Mixing & Mastering,5,4,3,2983143,512070,5,7,8,849
ART5561,Susan Howe,reneeowens@example.com,[Hashed Password],Stripe,AMP,Self-Taught,Pop,Pop Rock,"Barbaraside, Niger",https://kalakrut.com/Susan Howe,Fb,10,2,Won Award,No,production,Vocals,Session Musician,10,7,13,7437599,4509479,4,2,0,878
ART8895,Melissa Blackwell,lauramartin@example.org,[Hashed Password],Credit Card,Cardano,Online Course,Indian,Hindustani,"East Michele, Guyana",https://kalakrut.com/Melissa Blackwell,Fb,2,4,,No,logistics,Songwriting,Mixing & Mastering,3,2,19,3376433,847153,2,4,4,528
ART5451,Christina Smith,rickylarsen@example.net,[Hashed Password],Stripe,SwiftCoin,Music Academy,Jazz,Bebop,"North Marcusport, Reunion",https://kalakrut.com/Christina Smith,Twitter,6,5,Won Award,No,PR,Vocals,Session Musician,10,0,5,1741010,669280,3,2,0,134
ART6566,Barbara Anderson,evansrobert@example.com,[Hashed Password],Stripe,Nxt,Music Academy,Rock,Metal,"Lake Markmouth, Wallis and Futuna",https://kalakrut.com/Barbara Anderson,Fb,4,1,,Yes,business,Vocals,Mixing & Mastering,5,1,10,5498360,4790650,0,4,1,199
ART6109,Kathy Solis,amanda86@example.org,[Hashed Password],Credit Card,Dogecoin,Online Course,World,Contemporary,"South Matthew, Marshall Islands",https://kalakrut.com/Kathy Solis,SubStack,4,1,Featured in Magazine,Yes,PR,Songwriting,Session Musician,5,3,20,18222720,2554620,5,10,7,11
ART7456,Laura Chang,hpaul@example.org,[Hashed Password],Cash on Delivery,Ethereum,Online Course,Electronic,EDM,"South Julie, Congo",https://kalakrut.com/Laura Chang,Twitter,1,4,Featured in Magazine,No,event,Vocals,Mixing & Mastering,10,3,12,132768,93288,5,5,0,733
ART3042,Larry Higgins,carterfelicia@example.org,[Hashed Password],Cash on Delivery,BlackCoin,Online Course,World,Folk,"Angelaton, Bosnia and Herzegovina",https://kalakrut.com/Larry Higgins,SubStack,6,4,Won Award,Yes,script,Songwriting,Mixing & Mastering,1,0,4,1363748,408164,1,9,3,298
